CountyFIPS,county,year,median_income,median_rent,pct_age_25_34,pct_bachelors_plus
36001,Albany County,2022,78829,1196,0.11339476449097102,0.44415964502348415
36001,Albany County,2023,83149,1252,0.11369992453404529,0.4515350217946791
36001,Albany County,2024,85333,1313,0.11298412077547647,0.46421639980591944
36003,Allegany County,2022,58725,735,0.09529456609207573,0.24503620649380986
36003,Allegany County,2023,61233,754,0.0961362621472771,0.24561933534743202
36003,Allegany County,2024,62869,763,0.09629126995907462,0.24857008276697395
36005,Bronx County,2022,47036,1401,0.1400948844570058,0.21215257510479554
36005,Bronx County,2023,49036,1436,0.1372915272150784,0.21956129323920745
36005,Bronx County,2024,48676,1458,0.13534157330085372,0.22388465460531617
36007,Broome County,2022,58317,882,0.10347591561011267,0.29832464404402576
36007,Broome County,2023,61059,914,0.10507843712387098,0.3058679706601467
36007,Broome County,2024,62616,941,0.10554367761351316,0.31043297895953403
36009,Cattaraugus County,2022,56889,745,0.11296103896103896,0.20200271043517543
36009,Cattaraugus County,2023,58248,759,0.11234456517475386,0.20673885518831378
36009,Cattaraugus County,2024,59540,770,0.11118261212161008,0.21127801034228022
36011,Cayuga County,2022,63227,868,0.12061020598390464,0.22976487160039008
36011,Cayuga County,2023,66583,895,0.11686367009434963,0.23878642366037325
36011,Cayuga County,2024,67904,942,0.11600223695773748,0.2461518867581238
36013,Chautauqua County,2022,54625,759,0.11139359698681732,0.24289740951187866
36013,Chautauqua County,2023,56507,797,0.11328356909339898,0.2509742790335152
36013,Chautauqua County,2024,58351,812,0.11110845599949022,0.2512069082749711
36015,Chemung County,2022,61358,991,0.12170989663093415,0.24558486724913053
36015,Chemung County,2023,63469,1020,0.11940100235493026,0.2688530760281941
36015,Chemung County,2024,63716,1059,0.11789840164583004,0.27222146134355957
36017,Chenango County,2022,61741,798,0.11081620519789366,0.1826908919579493
36017,Chenango County,2023,62093,819,0.10973546106886581,0.19178366210532552
36017,Chenango County,2024,62948,875,0.10705727423846635,0.19558876056673413
36019,Clinton County,2022,67097,944,0.1148937236187828,0.27176293829082415
36019,Clinton County,2023,69208,956,0.112929167563734,0.2682087241599126
36019,Clinton County,2024,71224,1003,0.10860841094110303,0.27554072290914394
36021,Columbia County,2022,81741,1114,0.0948770925181799,0.36392077282431773
36021,Columbia County,2023,83619,1199,0.09540370642501429,0.3809222327740846
36021,Columbia County,2024,81528,1260,0.09328968903436989,0.3937153808891978
36023,Cortland County,2022,65029,884,0.10189284568495348,0.2784040445446471
36023,Cortland County,2023,67527,911,0.10157108683002522,0.2833230642842473
36023,Cortland County,2024,70418,984,0.10169528175409766,0.29136678377733055
36025,Delaware County,2022,58338,785,0.09427156842977799,0.24995476204837444
36025,Delaware County,2023,60226,848,0.09494736369553994,0.26695413563308507
36025,Delaware County,2024,63337,880,0.09265628161035808,0.2759139914473288
36027,Dutchess County,2022,94578,1425,0.10932414062947984,0.38981724723310224
36027,Dutchess County,2023,97273,1522,0.10983563524755674,0.3972561264074179
36027,Dutchess County,2024,99478,1582,0.10845349071155523,0.41617171641229983
