county,year,zhvi,seasonality_score
Albany County,2021,267142.6968166667,0.04261947187810067
Albany County,2022,291524.127425,0.04001373177073079
Albany County,2023,306901.23846666666,0.02689014051459609
Albany County,2024,327621.83428333333,0.02634250519840348
Albany County,2025,342694.66503333335,0.016222439212113984
Albany County,2026,349004.7348,
Allegany County,2021,98586.51435833333,0.05913565785407964
Allegany County,2022,110579.10815833333,0.06533807620977866
Allegany County,2023,110350.30098333333,-0.013572173105232305
Allegany County,2024,117169.82793333333,0.04216759062090836
Allegany County,2025,124418.123425,0.015458797980777005
Allegany County,2026,128649.0821,
Bronx County,2021,550709.6734333333,-0.01823082217511452
Bronx County,2022,519156.2836083334,-0.026302131869777236
Bronx County,2023,461472.0613416667,-0.017066417002639
Bronx County,2024,461873.70569166663,0.021116930997753344
Bronx County,2025,480628.9544666666,0.018853181536716543
Bronx County,2026,491230.2616,
Broome County,2021,131737.97860833333,0.06061419126654919
Broome County,2022,145680.60869166665,0.04810397091758818
Broome County,2023,156550.802025,0.036082840300378394
Broome County,2024,172238.41805,0.038824311466528635
Broome County,2025,179957.69416666668,0.008066995862167076
Broome County,2026,183893.6414,
Cattaraugus County,2021,116483.48941666666,0.05982900304106939
Cattaraugus County,2022,136239.839925,0.07911881676404156
Cattaraugus County,2023,141036.79160833333,0.020518958403079046
Cattaraugus County,2024,148268.94550833333,0.02879078410925128
Cattaraugus County,2025,152687.81925,0.007955657197279127
Cattaraugus County,2026,154265.7544,
Cayuga County,2021,163997.600675,0.052851093430607815
Cayuga County,2022,178682.62358333333,0.0549977816398077
Cayuga County,2023,188515.5272166667,0.03530405105953464
Cayuga County,2024,205662.302775,0.0466898188006549
Cayuga County,2025,211287.22415,-0.0018319994885900143
Cayuga County,2026,216130.3341,
Chautauqua County,2021,120478.08149166667,0.052788729912775785
Chautauqua County,2022,138734.83001666667,0.0739376104076742
Chautauqua County,2023,144705.7605,0.022229110359626703
Chautauqua County,2024,153326.09185833333,0.030718813358425665
Chautauqua County,2025,160881.47725833333,0.01331715041899703
Chautauqua County,2026,164090.642,
Chemung County,2021,120368.38120833335,0.041899014311035536
Chemung County,2022,131437.18830833334,0.044733387543486956
Chemung County,2023,137395.551525,0.014534439967759653
Chemung County,2024,143474.7732,0.026067960259439093
Chemung County,2025,146378.84473333333,0.0011076601502543397
Chemung County,2026,147684.9279,
Chenango County,2021,120619.04765000001,0.0495597043055473
Chenango County,2022,135518.873125,0.06043104302580057
Chenango County,2023,137685.54388333333,0.012232098191956609
Chenango County,2024,144437.18608333333,0.02660808040502029
Chenango County,2025,147986.54335,0.0009053094842869298
Chenango County,2026,150883.8644,
Clinton County,2021,163754.008425,0.04520179662953559
Clinton County,2022,181835.23208333334,0.07093403895391011
Clinton County,2023,189261.94485,0.02418096572848173
Clinton County,2024,199871.04468333334,0.024249037250509902
Clinton County,2025,206925.62054166666,0.003617467740355127
Clinton County,2026,212612.0122,
Columbia County,2021,338578.3423083333,0.0794787451022942
Columbia County,2022,395372.8603666667,0.06813845954186346
Columbia County,2023,413049.9359583333,0.02993069434740148
Columbia County,2024,428721.63424999994,0.021248068688496727
Columbia County,2025,441583.5739833333,0.010922330908379421
Columbia County,2026,452476.0003,
Cortland County,2021,144415.99703333332,0.034891885568013994
Cortland County,2022,158736.72226666668,0.04587666121494396
Cortland County,2023,165657.81279166669,0.016243536229666136
Cortland County,2024,174569.792475,0.024891971116995905
Cortland County,2025,183386.27336666666,0.021800404386652095
Cortland County,2026,189985.373,
Delaware County,2021,183377.79597500002,0.06421473262237708
Delaware County,2022,211408.94915,0.06830320287388743
Delaware County,2023,214948.86699166664,0.01719770186200826
Delaware County,2024,226052.76178333335,0.03326536767081062
Delaware County,2025,233818.06419166666,-0.00919622080941748
Delaware County,2026,233327.2692,
Dutchess County,2021,354983.64110833337,0.056053134068465196
Dutchess County,2022,394126.2042833333,0.059162864666900634
Dutchess County,2023,410145.6186916667,0.020659207560835797
Dutchess County,2024,436528.75940000004,0.02753023808374536
Dutchess County,2025,459694.4577666667,0.01620588333260503
Dutchess County,2026,471903.3382,
Erie County,2021,208994.49108333336,0.06185941603993437
Erie County,2022,233554.39977500003,0.0676221823844878
Erie County,2023,245076.59273333335,0.02929780200880133
Erie County,2024,261388.8124833333,0.026713672216556742
Erie County,2025,271309.83403333335,0.011417964907277535
Erie County,2026,277346.1476,
Essex County,2021,202071.78690833334,0.050520847689364094
Essex County,2022,231423.50365833333,0.0706662300690072
Essex County,2023,252849.6232,0.074824779708066
Essex County,2024,260838.09389166665,-0.006666853635994777
Essex County,2025,242002.86084166667,-0.022911301570938746
Essex County,2026,256945.9936,
Franklin County,2021,137420.85610833333,0.05250873219343832
Franklin County,2022,154681.37138333335,0.07053426428450663
Franklin County,2023,159471.5714,0.01939536098428516
Franklin County,2024,160021.02999166667,0.01918011451912568
Franklin County,2025,159906.71095,-0.0039579359488862926
Franklin County,2026,163578.0161,
Fulton County,2021,161568.65829166668,0.057966008950533075
Fulton County,2022,177995.9843916667,0.04986772771005566
Fulton County,2023,182857.28975,0.0041306157218598165
Fulton County,2024,194939.31784166666,0.0350371732936565
Fulton County,2025,200500.98988333333,0.01419220243858353
Fulton County,2026,204907.1096,
Genesee County,2021,161958.11705,0.057590857586437096
Genesee County,2022,178902.33475,0.06640809315826277
Genesee County,2023,184908.6721333333,0.02559538690999961
Genesee County,2024,196833.73255,0.02101771882430461
Genesee County,2025,205680.72764166666,-0.0017273731509101094
Genesee County,2026,210420.5455,
Greene County,2021,268161.70763333334,0.09121710702672599
Greene County,2022,315042.76345,0.07109789349158699
Greene County,2023,324307.5740083333,0.021886353141357406
Greene County,2024,341295.92880833335,0.024956371430149584
Greene County,2025,344070.43730833335,-0.008508566544265985
Greene County,2026,344694.7627,
Hamilton County,2021,193975.627325,0.05530729368822106
Hamilton County,2022,224185.02296666664,0.0698795372227954
Hamilton County,2023,228384.75671666666,0.01811721418996592
Hamilton County,2024,240740.58349166668,0.04038375718522967
Hamilton County,2025,246287.09593333336,0.010750569641164127
Hamilton County,2026,250004.6625,
Herkimer County,2021,137084.17100833333,0.0387347647392378
Herkimer County,2022,153661.76902500002,0.07336019462775986
Herkimer County,2023,161068.3115916667,0.01938689842461795
Herkimer County,2024,172649.1821,0.03191208281362218
Herkimer County,2025,180742.789275,0.01043726773368446
Herkimer County,2026,184793.2936,
Jefferson County,2021,167697.02775833334,0.03379646876372728
Jefferson County,2022,184863.21741666668,0.059625911284507595
Jefferson County,2023,192615.32186666667,0.01474688235009155
Jefferson County,2024,205673.3419,0.031691748609860994
Jefferson County,2025,210603.48371666667,-0.0022178089002961175
Jefferson County,2026,211995.2529,
Kings County,2021,832216.4055416667,0.017090459856678772
Kings County,2022,874340.56435,0.02007210037590077
Kings County,2023,848574.4595750001,0.004268843913502529
Kings County,2024,866787.4679166666,0.015371145188980124
Kings County,2025,905357.9630583334,0.016334504411126494
Kings County,2026,928469.9722,
Lewis County,2021,141769.951425,0.04260092534849839
Lewis County,2022,156239.14587500002,0.05952976296919244
Lewis County,2023,162402.52431666668,0.01835956610639506
Lewis County,2024,172384.74265833336,0.032265823477573424
Lewis County,2025,178238.20351666666,0.000692947413534343
Lewis County,2026,182569.9541,
Livingston County,2021,169702.05756666666,0.05341886997047125
Livingston County,2022,188914.98111666666,0.0691570660288677
Livingston County,2023,200322.70218333334,0.03449977259360285
Livingston County,2024,214875.26131666664,0.029850756010453127
Livingston County,2025,225370.382725,0.0033210117022144047
Livingston County,2026,228069.6311,
Madison County,2021,171319.593875,0.04581460946544062
Madison County,2022,190150.61163333335,0.05956611740538435
Madison County,2023,201625.5993,0.028778498079039542
Madison County,2024,219166.905925,0.040746456585571605
Madison County,2025,234927.84224166666,0.012346479443290375
Madison County,2026,240360.8128,
Monroe County,2021,188932.93335833334,0.061552174857312056
Monroe County,2022,211035.01228333334,0.06998144117300453
Monroe County,2023,229151.2926416667,0.05454104176934473
Monroe County,2024,249609.2630083333,0.03743796215110705
Monroe County,2025,262329.46838333335,0.008087002773283884
Monroe County,2026,267127.8737,
Montgomery County,2021,155504.411975,0.052313464575020084
Montgomery County,2022,173163.7215083333,0.06831333937294251
Montgomery County,2023,179840.0174,0.011151812883576974
Montgomery County,2024,193932.57898333334,0.030212873046941976
Montgomery County,2025,198741.95771666666,-0.0021424029052658886
Montgomery County,2026,197556.2529,
Nassau County,2021,644183.4792000001,0.033840170322232285
Nassau County,2022,690608.8888083333,0.0357913929489716
Nassau County,2023,706581.0907833334,0.015548918660756967
Nassau County,2024,761278.7380333333,0.033383164041072985
Nassau County,2025,797851.0455916667,0.012635585724014176
Nassau County,2026,815539.8609,
New York County,2021,1352631.6895,0.010510169692477126
New York County,2022,1417341.485833333,0.0396988578050457
New York County,2023,1218019.1644166666,-0.04109627012904929
New York County,2024,1161799.9829166667,-0.004009794230534927
New York County,2025,1191881.0259166667,-0.013681058042658005
