county,year,zhvi,seasonality_score,median_income,median_rent,pct_age_25_34,pct_bachelors_plus,zhvi_next,target_growth,lagged_growth,predicted_zhvi_next,predicted_growth,opportunity_score
Albany County,2022,291524.127425,0.0400137317707307,78829.0,1196.0,0.113394764490971,0.4441596450234841,306901.23846666666,0.052747301492644706,0.09126744207821516,304598.16,0.04484715876000186,0.015383686817325137
Albany County,2023,306901.23846666666,0.026890140514596,83149.0,1252.0,0.1136999245340452,0.4515350217946791,327621.83428333333,0.06751551710964238,0.052747301492644706,326555.16,0.06403987771938562,0.020866607785403626
Albany County,2024,327621.83428333333,0.0263425051984034,85333.0,1313.0,0.1129841207754764,0.4642163998059194,342694.6650333333,0.04600679555735808,0.06751551710964238,342069.16,0.04409755533623062,0.013459895135711332
Albany County,2025,342694.6650333333,0.0162224392121139,85333.0,1313.0,0.1129841207754764,0.4642163998059194,349004.7348,0.01841309600210121,0.04600679555735808,343111.0,0.0012148860462307147,0.00035450976341068653
Allegany County,2022,110579.10815833331,0.0653380762097786,58725.0,735.0,0.0952945660920757,0.2450362064938098,110350.30098333332,-0.0020691718246847826,0.12164537795108969,121355.66,0.09745555260073381,0.08813197558185361
Allegany County,2023,110350.30098333332,-0.0135721731052323,61233.0,754.0,0.0961362621472771,0.245619335347432,117169.82793333332,0.06179889759457912,-0.0020691718246847826,121355.66,0.0997310851769119,0.09037681301111695
Allegany County,2024,117169.82793333332,0.0421675906209083,62869.0,763.0,0.0962912699590746,0.2485700827669739,124418.123425,0.061861450336777625,0.06179889759457912,125371.7,0.06999989106695062,0.05974224960608356
Allegany County,2025,124418.123425,0.015458797980777,62869.0,763.0,0.0962912699590746,0.2485700827669739,128649.0821,0.034005967607689,0.061861450336777625,129850.91,0.043665526174528076,0.03509579229496249
Bronx County,2022,519156.2836083334,-0.0263021318697772,47036.0,1401.0,0.1400948844570058,0.2121525751047955,461472.0613416667,-0.11111147854310739,-0.0572958699422948,460619.56,-0.11275356372744048,-0.021718616780242048
Bronx County,2023,461472.0613416667,-0.017066417002639,49036.0,1436.0,0.1372915272150784,0.2195612932392074,461873.7056916666,0.0008703546403918249,-0.11111147854310739,460718.22,-0.0016335606308970924,-0.0003539890640719915
Bronx County,2024,461873.7056916666,0.0211169309977533,48676.0,1458.0,0.1353415733008537,0.2238846546053161,480628.9544666666,0.04060687703993373,0.0008703546403918249,477412.7,0.03364335665106426,0.007284103042991493
Bronx County,2025,480628.9544666666,0.0188531815367165,48676.0,1458.0,0.1353415733008537,0.2238846546053161,491230.2616,0.022057154557193138,0.04060687703993373,498062.34,0.03627203297121054,0.007546784818958746
Broome County,2022,145680.60869166665,0.0481039709175881,58317.0,882.0,0.1034759156101126,0.2983246440440257,156550.802025,0.07461661116710562,0.10583607119694605,156575.22,0.07478421566312791,0.05133436518061843
Broome County,2023,156550.802025,0.0360828403003783,61059.0,914.0,0.1050784371238709,0.3058679706601467,172238.41805,0.10020782916522394,0.07461661116710562,166165.95,0.06141872782270716,0.03923245810832642
Broome County,2024,172238.41805,0.0388243114665286,62616.0,941.0,0.1055436776135131,0.310432978959534,179957.69416666668,0.04481738861782744,0.10020782916522394,181213.34,0.05210757159529074,0.030253164297040953
Broome County,2025,179957.69416666668,0.008066995862167,62616.0,941.0,0.1055436776135131,0.310432978959534,183893.6414,0.021871514033115238,0.04481738861782744,194229.7,0.07930757850850982,0.04407012374533961
Cattaraugus County,2022,136239.839925,0.0791188167640415,56889.0,745.0,0.1129610389610389,0.2020027104351754,141036.79160833333,0.03520961038983926,0.1696064447182209,142923.88,0.04906079659723288,0.03601060939607741
Cattaraugus County,2023,141036.79160833333,0.020518958403079,58248.0,759.0,0.1123445651747538,0.2067388551883137,148268.94550833333,0.051278491360496066,0.03520961038983926,148861.88,0.05548256807626018,0.03933907418309559
Cattaraugus County,2024,148268.94550833333,0.0287907841092512,59540.0,770.0,0.11118261212161,0.2112780103422802,152687.81925,0.029803096842138874,0.051278491360496066,154515.89,0.04213252542701577,0.028416284531171593
Cattaraugus County,2025,152687.81925,0.0079556571972791,59540.0,770.0,0.11118261212161,0.2112780103422802,154265.7544,0.010334387888639681,0.029803096842138874,158039.19,0.03504777444779702,0.022953877146160775
Cayuga County,2022,178682.62358333333,0.0549977816398077,63227.0,868.0,0.1206102059839046,0.22976487160039,188515.5272166667,0.05502999360621953,0.08954413264517927,187475.98,0.049212176401504715,0.027541668806174275
Cayuga County,2023,188515.5272166667,0.0353040510595346,66583.0,895.0,0.1168636700943496,0.2387864236603732,205662.302775,0.09095683422737892,0.05502999360621953,199552.8,0.05854833191351834,0.03105756474172387
Cayuga County,2024,205662.302775,0.0466898188006549,67904.0,942.0,0.1160022369577374,0.2461518867581238,211287.22415,0.02735027906963494,0.09095683422737892,215068.22,0.04573475959417965,0.02223779417865154
Cayuga County,2025,211287.22415,-0.00183199948859,67904.0,942.0,0.1160022369577374,0.2461518867581238,216130.3341,0.022921925210971222,0.02735027906963494,220865.06,0.0453308920524242,0.021454629940257184
Chautauqua County,2022,138734.83001666667,0.0739376104076742,54625.0,759.0,0.1113935969868173,0.2428974095118786,144705.7605,0.04303843874401275,0.15153585033027592,146324.05,0.054703039297497306,0.03942992490849317
Chautauqua County,2023,144705.7605,0.0222291103596267,56507.0,797.0,0.1132835690933989,0.2509742790335152,153326.09185833333,0.05957144572923427,0.04303843874401275,154515.89,0.06779363925183887,0.0468493023481528
Chautauqua County,2024,153326.09185833333,0.0307188133584256,58351.0,812.0,0.1111084559994902,0.2512069082749711,160881.47725833333,0.04927657979426521,0.05957144572923427,161416.08,0.0527632718516133,0.03441245466581401
Chautauqua County,2025,160881.47725833333,0.013317150418997,58351.0,812.0,0.1111084559994902,0.2512069082749711,164090.642,0.01994738484725369,0.04927657979426521,163594.55,0.016863778620768124,0.010482113235254132
Chemung County,2022,131437.18830833334,0.0447333875434869,61358.0,991.0,0.1217098966309341,0.2455848672491305,137395.551525,0.045332400162799893,0.09195776323386876,139682.8,0.06273421299399386,0.0477294240704755
Chemung County,2023,137395.551525,0.0145344399677596,63469.0,1020.0,0.1194010023549302,0.2688530760281941,143474.7732,0.04424613175262705,0.045332400162799893,145371.44,0.05805054011191002,0.042250669303035886
Chemung County,2024,143474.7732,0.026067960259439,63716.0,1059.0,0.11789840164583,0.2722214613435595,146378.84473333333,0.02024099058365569,0.04424613175262705,148971.8,0.038313520575058164,0.02670401194616293
Chemung County,2025,146378.84473333333,0.0011076601502543,63716.0,1059.0,0.11789840164583,0.2722214613435595,147684.9279,0.008922622453033047,0.02024099058365569,154625.81,0.05633988833352688,0.03848909207895749
Chenango County,2022,135518.873125,0.0604310430258005,61741.0,798.0,0.1108162051978936,0.1826908919579493,137685.54388333333,0.015987963214059663,0.12352796482222947,139628.36,0.030324088115826316,0.022376284141512864
Chenango County,2023,137685.54388333333,0.0122320981919566,62093.0,819.0,0.1097354610688658,0.1917836621053255,144437.18608333333,0.04903668177191462,0.015987963214059663,146270.31,0.06235054439659184,0.045284742782745614
Chenango County,2024,144437.18608333333,0.0266080804050202,62948.0,875.0,0.1070572742384663,0.1955887605667341,147986.54335,0.024573708218179006,0.04903668177191462,149522.0,0.03520432690881261,0.024373451092090232
Chenango County,2025,147986.54335,0.0009053094842869,62948.0,875.0,0.1070572742384663,0.1955887605667341,150883.8644,0.01957827370254607,0.024573708218179006,154625.81,0.04486400587313946,0.030316273937848866
Clinton County,2022,181835.2320833333,0.0709340389539101,67097.0,944.0,0.1148937236187828,0.2717629382908241,189261.94485,0.04084309009633019,0.11041698357334913,193332.12,0.06322698183923883,0.03477157925602808
Clinton County,2023,189261.94485,0.0241809657284817,69208.0,956.0,0.112929167563734,0.2682087241599126,199871.0446833333,0.056055113677192625,0.04084309009633019,200400.61,0.05885316529864456,0.031096143149796317
Clinton County,2024,199871.0446833333,0.0242490372505099,71224.0,1003.0,0.108608410941103,0.2755407229091439,206925.62054166663,0.03529563709195734,0.056055113677192625,207896.55,0.04015340093099495,0.02008965380383746
Clinton County,2025,206925.62054166663,0.0036174677403551,71224.0,1003.0,0.108608410941103,0.2755407229091439,212612.0122,0.027480365376931895,0.03529563709195734,216766.88,0.047559381156243655,0.022983805017352636
Columbia County,2022,395372.8603666667,0.0681384595418634,81741.0,1114.0,0.0948770925181799,0.3639207728243177,413049.9359583333,0.0447098861952057,0.16774409630316012,411041.22,0.03962932197420571,0.01002327826382764
Columbia County,2023,413049.9359583333,0.0299306943474014,83619.0,1199.0,0.0954037064250142,0.3809222327740846,428721.63425,0.03794141319815525,0.0447098861952057,428533.56,0.037486088711628826,0.009075437483038433
Columbia County,2024,428721.63425,0.0212480686884967,81528.0,1260.0,0.0932896890343698,0.3937153808891978,441583.5739833333,0.030000678075959037,0.03794141319815525,440020.44,0.026354637478852624,0.006147260920237227
