county,year,zhvi,target_growth,predicted_growth,opportunity_score
Saint Lawrence County,2025,131697.21536666667,0.014251029743551968,0.06063591766993827,0.046041913263783076
Broome County,2025,179957.69416666668,0.021871514033115238,0.07930757850850982,0.04407012374533961
Cortland County,2025,183386.27336666663,0.03598469783034945,0.07480381168390562,0.040790300337441944
Orleans County,2025,179980.5427,0.034255805697156735,0.0727907909014212,0.040443700085265495
Herkimer County,2025,180742.789275,0.022410323207069566,0.06965332213527671,0.03853726193707194
Chemung County,2025,146378.84473333333,0.008922622453033047,0.05633988833352688,0.03848909207895749
Allegany County,2025,124418.123425,0.034005967607689,0.043665526174528076,0.03509579229496249
Fulton County,2025,200500.98988333333,0.021975550939825696,0.06916180376334076,0.034494494916750454
Oswego County,2025,185249.91246666663,0.025855824542941334,0.06274274237740757,0.03386924265818335
Washington County,2025,230963.419275,0.009547105909332545,0.07817932881613902,0.03384922558799394
Tioga County,2025,185626.83831666663,0.01877539484558701,0.06136415219711596,0.033057801745474395
Chenango County,2025,147986.54335,0.01957827370254607,0.04486400587313946,0.030316273937848866
Lewis County,2025,178238.20351666666,0.024303154418453782,0.053234586755953786,0.02986710239759342
Seneca County,2025,202907.7133833333,0.027385658356756822,0.05993121288441647,0.02953619253063801
Schoharie County,2025,231667.7552,0.021901837809148818,0.06579260906137525,0.028399553923495368
Monroe County,2025,262329.4683833333,0.018291522283935522,0.06884615547756792,0.0262441562138819
Madison County,2025,234927.84224166663,0.023126124628278722,0.05884433812282096,0.02504783492724064
Oneida County,2025,211390.1385333333,0.04183638616269776,0.05191586593305622,0.024559265769566543
Genesee County,2025,205680.72764166663,0.02304454050061028,0.04751185232754745,0.023099807586407298
Clinton County,2025,206925.62054166663,0.027480365376931895,0.047559381156243655,0.022983805017352636
Cattaraugus County,2025,152687.81925,0.010334387888639681,0.03504777444779702,0.022953877146160775
Wyoming County,2025,192670.7017,-0.002648082949292613,0.04388641526912545,0.022777939189456666
Cayuga County,2025,211287.22415,0.022921925210971222,0.0453308920524242,0.021454629940257184
Hamilton County,2025,246287.09593333336,0.015094443144000293,0.05213782219488468,0.021169530623316817
Onondaga County,2025,253318.085825,0.029710039259491648,0.051136949550254295,0.020186852977241147
Steuben County,2025,158619.98229166667,0.007711051852750021,0.03136152527230909,0.019771484537580052
Otsego County,2025,199928.41753333333,-0.011410973794923231,0.03763403826978327,0.018823756389463084
Montgomery County,2025,198741.95771666663,-0.005966051810544289,0.03660656822000936,0.018419144422536553
Erie County,2025,271309.83403333335,0.022248782791725315,0.0465388483305598,0.017153395304072172
Delaware County,2025,233818.06419166664,-0.002099046510214491,0.03545878538938334,0.015165118021128113
Schenectady County,2025,285772.80694166664,0.02625639730607738,0.04210623882344956,0.014734165673098664
Franklin County,2025,159906.71095,0.022959043608544685,0.023062421227293663,0.014422422355059803
Ontario County,2025,292483.1610583333,0.028687603796764334,0.040219927188630676,0.01375119410057564
Schuyler County,2025,228693.11645833333,0.0017706087876084176,0.030435952880701743,0.013308644069419121
Jefferson County,2025,210603.48371666667,0.0066084812975160745,0.026116172492820264,0.01240063650986676
Livingston County,2025,225370.382725,0.011976943653211322,0.02497746024538104,0.011082849460241134
Chautauqua County,2025,160881.47725833333,0.01994738484725369,0.016863778620768124,0.010482113235254132
Orange County,2025,439216.6155083333,0.018499132329643266,0.04313470295230038,0.009820826769583351
Tompkins County,2025,330043.85185833334,0.01526018895158367,0.03175285824189504,0.009620799800726028
Niagara County,2025,227643.64450833327,0.03320037424277866,0.02027269090527057,0.008905449984802213
Wayne County,2025,225534.66481666663,0.024444206782202698,0.019951925403534868,0.00884650056777456
Ulster County,2025,417027.160275,0.012611129024622735,0.03383494186732447,0.008113366487931557
Rensselaer County,2025,297255.10926666664,0.02543311148455719,0.023520884975138063,0.007912693252998908
Bronx County,2025,480628.9544666666,0.022057154557193138,0.03627203297121054,0.007546784818958746
Rockland County,2025,712074.0266999999,0.01999423636609953,0.0485847987748267,0.006822998305384856
Columbia County,2025,441583.5739833333,0.02466673798214655,0.027693627519596677,0.006271435160004824
Yates County,2025,295971.5519083333,0.010013518436341448,0.017900404810890575,0.006048015322916774
Queens County,2025,712261.0322833332,0.025414591415505033,0.0430428997616021,0.006043135565568873
Sullivan County,2025,302068.6629083333,0.00884749237453247,0.017955849969490737,0.0059442941868285346
Saratoga County,2025,430329.2369666667,0.022876979269934785,0.02228964989909872,0.005179673604381493
Richmond County,2025,688302.0749583333,0.029216243671623548,0.024554517059519,0.003567404189651095
Suffolk County,2025,676176.0245583333,0.017817730744795555,0.009683093164894997,0.0014320373413446341
Nassau County,2025,797851.0455916667,0.02217057357519118,0.006627746416515467,0.0008306997218510247
Dutchess County,2025,459694.4577666667,0.026558685289893805,0.0022270466089737515,0.0004844623578438188
Albany County,2025,342694.6650333333,0.01841309600210121,0.0012148860462307147,0.00035450976341068653
Essex County,2025,242002.86084166667,0.061747752511529384,0.00036143078238466827,0.00014934979740637808
Westchester County,2025,802318.0177916667,0.03171831748011582,0.001023262833599366,0.00012753830911286737
Warren County,2025,344039.4781916667,0.024030104776892807,-0.0006139649809288336,-0.00017845771193350946
New York County,2025,1191881.0259166667,0.009812618733768645,-0.014035084503338938,-0.0011775575076836766
Putnam County,2025,530622.0452833333,0.022339805935384927,-0.011287427344137535,-0.002127206633133844
Kings County,2025,905357.9630583334,0.0255280343076603,-0.024521751576953812,-0.00270851448570888
Greene County,2025,344070.43730833335,0.0018145278523513289,-0.022837983029886513,-0.006637589444925375
